model,"model parameters, B",language,tokens_used_lape_tokenizer,lang_specific_neurons,lang_specific_neurons_pct,vocab_size,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction,chars_per_token_mean,chars_per_token_std,n_questions_subset,MeanTokenNLL_mean,MeanTokenNLL_std,SequenceNLL_mean,SequenceNLL_std,MeanTokenEntropy_mean,MeanTokenEntropy_std,RAUQ_mean,RAUQ_std,Focus_mean,Focus_std,lexical_similarity_mean,lexical_similarity_std,degmat_mean,degmat_std,eigvallaplacian_mean,eigvallaplacian_std,eccentricity_mean,eccentricity_std,eccentricity_infs_cnt,subset_accuracy,total_questions,total_correct,total_n_unparseable,total_accuracy,n_unseen,unseen_accuracy
llama-3.1-8b-instruct ,8,karakalpak,31221,728,0.159,128256,9511,31221,3.282620124,2442,0.01904004491,122,39,582,0.2383292383,173,0.07084357084,1059,0.4336609337,2.247910061,1.21862516,129,0.339729,0.207088,7.891624,9.996032,0.991095,0.611101,1.755797,0.186504,7.260844,4.566114,-0.897566,0.124539,0.734794,0.123294,1.914346,0.461657,55.045627,34.769114,30,25.58,240,59,61,24.58,111,23.42
llama-3.1-8b-instruct ,8,kazakh-cyrillic,31099,1024,0.223,128256,7090,31221,4.386318759,1368,0.01066616766,168,88,225,0.1644736842,843,0.6162280702,197,0.144005848,2.475192128,1.672120577,129,0.183719,0.116132,5.497703,6.278146,0.44531,0.2851,1.657686,0.102952,6.503138,3.152205,-0.862374,0.154602,0.701793,0.157774,1.964191,0.581901,49.084975,30.659492,41,44.96,944,409,128,43.33,815,43.07
llama-3.1-8b-instruct ,8,kazakh-latin,31172,639,0.139,128256,9536,31221,3.268875839,2326,0.01813560379,123,33,581,0.2497850387,207,0.08899398108,891,0.383061049,2.14740793,1.109362118,129,0.286214,0.160279,12.638246,12.088877,0.861515,0.478301,1.765663,0.173175,6.177206,3.718634,-0.897572,0.120659,0.740358,0.115034,1.876004,0.468529,56.380082,34.571096,16,28.68,944,234,314,24.79,815,24.17
llama-3.1-8b-instruct ,8,russian,30729,976,0.213,128256,12838,31221,2.393597134,3491,0.0272189995,149,71,331,0.09481523919,3491,1,180,0.05156115726,5.405317453,3.939073102,129,0.166914,0.121149,5.620562,6.511812,0.450161,0.306378,1.638534,0.121048,5.0869,2.627277,-0.731782,0.258513,0.578734,0.216789,2.300019,0.475168,38.251413,32.226287,8,62.02,2157,1301,69,60.32,2028,60.21
llama-3.1-8b-instruct ,8,tatar,31082,649,0.141,128256,7166,31221,4.337426737,1344,0.01047904192,162,79,196,0.1458333333,925,0.6882440476,182,0.1354166667,2.571005727,1.929000959,129,0.16282,0.096598,3.559049,4.126154,0.418536,0.247158,1.624563,0.082306,5.824872,2.948778,-0.836017,0.180952,0.659962,0.182072,2.109057,0.519188,47.287224,35.098553,18,42.64,839,348,96,41.48,710,41.27
llama-3.1-8b-instruct ,8,turkish,31115,1179,0.257,128256,10352,31221,3.005699382,3111,0.02425617515,115,26,557,0.1790421086,180,0.05785920926,3111,1,2.789683432,2.144096271,129,0.204296,0.13496,4.077743,6.550071,0.573731,0.361837,1.622577,0.138774,3.524376,2.132018,-0.764409,0.222675,0.602039,0.188499,2.287184,0.446292,38.438478,33.415998,10,49.61,945,456,62,48.25,816,48.04
llama-3.1-8b-instruct ,8,uyghur-arabic,31128,1010,0.22,128256,5362,31221,5.805296531,653,0.005091379741,146,71,167,0.2557427259,128,0.1960183767,169,0.258805513,2.097018761,1.310636962,129,0.17885,0.183756,3.810995,4.461346,0.475531,0.464538,1.64242,0.101282,6.641873,2.925336,-0.822376,0.200193,0.685347,0.179368,1.977753,0.57555,54.936085,32.411967,36,19.38,519,104,201,20.04,390,20.26
llama-3.1-8b-instruct ,8,uyghur-latin,31128,639,0.139,128256,10049,31221,3.097621654,1804,0.01406561876,117,51,437,0.2422394678,148,0.08203991131,746,0.4135254989,2.34695451,1.170290214,129,0.295622,0.194607,10.795578,10.929111,0.854305,0.540422,1.774572,0.171955,10.674831,3.960578,-0.910293,0.123409,0.752876,0.115321,1.781895,0.493632,59.380032,37.48834,16,19.38,519,111,82,21.39,390,22.05
llama-3.1-8b-instruct ,8,uzbek-latin,31189,715,0.156,128256,9855,31221,3.164789447,2542,0.01981973553,109,23,641,0.2521636507,208,0.08182533438,1005,0.3953579858,2.215364391,1.129921118,129,0.251786,0.205604,3.30919,5.315915,0.602044,0.486304,1.593688,0.146075,5.359871,3.315684,-0.747041,0.225267,0.604884,0.207086,2.245836,0.523082,39.878219,26.952437,35,26.36,735,199,121,27.07,606,27.23
llama-3.1-8b-instruct ,8,uzbek-cyrillic,31069,830,0.181,128256,8296,31221,3.745057859,1456,0.01135229541,159,84,225,0.154532967,931,0.6394230769,210,0.1442307692,2.978821333,1.840089595,129,0.242768,0.155869,9.249222,10.514248,0.650115,0.434776,1.717307,0.139675,9.194027,4.352699,-0.890927,0.119675,0.728793,0.131673,1.876995,0.539872,54.109863,39.665714,28,27.91,735,173,199,23.54,606,22.61
gemma-3-4b-it,4,azerbaijani,30793,816,0.234,262145,10504,30880,2.931549886,2349,0.008960689695,115,29,317,0.134951043,107,0.04555129842,981,0.4176245211,2.078167116,1.29842986,163,0.075509,0.066128,4.832597,4.23216,0.171386,0.152022,1.626452,0.062452,4.996763,1.607304,-0.638701,0.278963,0.481077,0.217492,2.572581,0.297856,22.267793,30.768611,1,46.63,735,338,30,45.99,572,45.8
gemma-3-4b-it,4,crimean-tatar-latin,30863,821,0.236,262145,10630,30880,2.903386642,3002,0.01145167751,107,18,387,0.1289140573,123,0.04097268488,1207,0.4020652898,2.289764443,1.507220611,163,0.101576,0.089462,6.500884,5.725541,0.242117,0.220563,1.659629,0.087652,5.909552,2.092366,-0.662885,0.259133,0.51759,0.212361,2.50012,0.340122,29.36888,34.130449,0,32.52,380,125,38,32.89,217,33.18
